language,question,answer
english,"After eating at a wedding yesterday, I have been having stomach cramps, watery diarrhea, and vomiting.","This sounds like a typical case of gastroenteritis, often caused by contaminated food or water. The main priority is to prevent dehydration. You must drink plenty of fluids, preferably an Oral Rehydration Solution (ORS). Stick to a very bland diet like bananas, rice, and toast (BRAT diet). Avoid dairy, spicy, and oily foods. If symptoms persist for more than 48 hours, see a doctor."
english,My stomach is really upset. I have constant diarrhea and I feel very weak and dehydrated.,"This sounds like a typical case of gastroenteritis, often caused by contaminated food or water. The main priority is to prevent dehydration. You must drink plenty of fluids, preferably an Oral Rehydration Solution (ORS). Stick to a very bland diet like bananas, rice, and toast (BRAT diet). Avoid dairy, spicy, and oily foods. If symptoms persist for more than 48 hours, see a doctor."
english,I think I have food poisoning. I've been running to the toilet all night and feel nauseous.,"This sounds like a typical case of gastroenteritis, often caused by contaminated food or water. The main priority is to prevent dehydration. You must drink plenty of fluids, preferably an Oral Rehydration Solution (ORS). Stick to a very bland diet like bananas, rice, and toast (BRAT diet). Avoid dairy, spicy, and oily foods. If symptoms persist for more than 48 hours, see a doctor."
english,I'm experiencing a throbbing headache on one side of my head. I'm also sensitive to light and sound.,"A one-sided, throbbing headache accompanied by sensitivity to light and sound (photophobia and phonophobia) is characteristic of a migraine. Identifying and avoiding triggers like stress, certain foods, or lack of sleep is key. Resting in a dark, quiet room during an attack can help. A neurologist can prescribe specific medications for both prevention and acute treatment."
english,I get these terrible headaches that make me feel sick to my stomach. Normal painkillers don't seem to help.,"A one-sided, throbbing headache accompanied by sensitivity to light and sound (photophobia and phonophobia) is characteristic of a migraine. Identifying and avoiding triggers like stress, certain foods, or lack of sleep is key. Resting in a dark, quiet room during an attack can help. A neurologist can prescribe specific medications for both prevention and acute treatment."
english,"Before my headache starts, I sometimes see flashing lights. The pain is intense and pulsing.","A one-sided, throbbing headache accompanied by sensitivity to light and sound (photophobia and phonophobia) is characteristic of a migraine. Identifying and avoiding triggers like stress, certain foods, or lack of sleep is key. Resting in a dark, quiet room during an attack can help. A neurologist can prescribe specific medications for both prevention and acute treatment."
english,"I feel tired and weak all the time, no matter how much I sleep. I also get dizzy sometimes.","Constant fatigue, pale skin, and shortness of breath are common symptoms of iron-deficiency anemia. This means your body lacks enough iron to produce hemoglobin. A complete blood count (CBC) test can confirm this. Treatment involves taking iron supplements and increasing your intake of iron-rich foods like spinach, lentils, and red meat. Consult a doctor for the correct dosage of supplements."
english,"My skin looks very pale, and I've been told I look tired. I get short of breath easily.","Constant fatigue, pale skin, and shortness of breath are common symptoms of iron-deficiency anemia. This means your body lacks enough iron to produce hemoglobin. A complete blood count (CBC) test can confirm this. Treatment involves taking iron supplements and increasing your intake of iron-rich foods like spinach, lentils, and red meat. Consult a doctor for the correct dosage of supplements."
english,My nails have become brittle and I've been craving strange things like ice.,"Constant fatigue, pale skin, and shortness of breath are common symptoms of iron-deficiency anemia. This means your body lacks enough iron to produce hemoglobin. A complete blood count (CBC) test can confirm this. Treatment involves taking iron supplements and increasing your intake of iron-rich foods like spinach, lentils, and red meat. Consult a doctor for the correct dosage of supplements."
english,"I feel a burning sensation when I urinate, and I feel the need to go all the time, even if very little comes out.","A burning sensation during urination (dysuria) and an increased frequency and urgency to urinate are classic signs of a Urinary Tract Infection (UTI). It's important to drink a lot of water to help flush out the bacteria. A doctor will likely perform a urine routine test and prescribe a course of antibiotics. Do not stop taking the antibiotics early, even if you feel better."
english,My urine looks cloudy and has a strong smell. I also have some pain in my lower abdomen.,"A burning sensation during urination (dysuria) and an increased frequency and urgency to urinate are classic signs of a Urinary Tract Infection (UTI). It's important to drink a lot of water to help flush out the bacteria. A doctor will likely perform a urine routine test and prescribe a course of antibiotics. Do not stop taking the antibiotics early, even if you feel better."
english,It's painful to pee and I feel a constant urge to urinate. What could this be?,"A burning sensation during urination (dysuria) and an increased frequency and urgency to urinate are classic signs of a Urinary Tract Infection (UTI). It's important to drink a lot of water to help flush out the bacteria. A doctor will likely perform a urine routine test and prescribe a course of antibiotics. Do not stop taking the antibiotics early, even if you feel better."
english,"For the past three days, I've had a high fever, a severe headache, especially behind my eyes, and my whole body aches.","These symptoms, particularly the high fever and retro-orbital pain (pain behind the eyes), are highly indicative of Dengue fever. It is crucial to monitor your platelet count. You should immediately consult a doctor for a blood test (NS1 antigen test). In the meantime, ensure you are getting plenty of rest and staying hydrated by drinking lots of water, coconut water, or ORS."
hindi,"पिछले तीन दिनों के लिए, मैं एक उच्च बुखार, एक भारी सिरदर्द था, विशेष रूप से मेरी आंखों के पीछे, और मेरे पूरे शरीर एक हड्डी.","इन लक्षणों, विशेष रूप से उच्च बुखार और पुनर्वासिक दर्द (आंखों के पीछे), डेंगू बुखार के अति महत्वपूर्ण हैं. यह अपने प्लेट की गणना को देखने के लिए तुरंत एक डॉक्टर से सलाह लेना चाहिए. इस बीच में, आप बहुत आराम कर रहे हैं और पानी, पानी, या पानी के पानी, या पानी के पानी के पानी के लिए बहुत."
hindi,"मैं उच्च बुखार, ठंड, और पसीना के बारंबार चक्र होने जा रहा हूँ. यह हर दूसरे दिन होता है.","बुखार, ठंड, और पसीना के एक क्लासिक लक्षण है. आपको एक खून की जाँच करनी चाहिए ताकि बीमारी को पक्का कर सके. एक डॉक्टर खून की जाँच जाँच करेगा. एक डॉक्टर खून की जाँच किसी प्रकार पर आधारित दवाइयों का इलाज करेगा. डॉक्टर डॉक्टर को डॉक्टर खून की बीमारी के बारे में पता नहीं लगाना चाहिए. डॉक्टर का ध्यान लगाने में देर मत कीजिए."
hindi,"मैं एक तीव्र बुखार है जो धीरे से बढ़ता गया है, कमज़ोरी, पेट दर्द, और एक सिरदर्द के साथ. मैं भी अपनी भूख खो दिया है.",बुखार के कारण बुखार और भूख की कमी का एक कदम उठाए गए रोग का नमूना. एक प्रक्षेपी जाँच या एक खून की संस्कृति है _BAR_ प्रमोदकों की ज़रूरत है एक डॉक्टर द्वारा किए गए वायरस के पूरे मार्ग की ज़रूरत होती है _BAR_ कृपया सुनिश्चित करें कि आप पीने के लिए पानी को साफ़ या साफ पानी को साफ़ करें और अच्छी साफ - सुथरा रखें _BAR_
hindi,"मेरी आँखें और त्वचा पीला हो गए हैं, और मेरा मूत्र बहुत गहरा है ।","इसके अलावा, त्वचा और आँखों (मार्च) के साथ - साथ आँखों की चमक - दमक, हेडिस्क बीमारी के लक्षण हैं, अकसर दूषित भोजन और पानी के कारण. आपको एक गुर्दे की परीक्षा (टीटी) की ज़रूरत होती है. इलाज में पूर्ण आराम, वसादार आहार, और शराब से दूर रहना शामिल है. एक गैस विशेषज्ञ से सलाह लीजिए ।"
hindi,मैं हमेशा प्यास महसूस कर रहा हूँ और मैं सामान्य से अधिक बार ज्यादा uinin करने के लिए है. मैं भी बिना कोशिश किए कुछ वजन खो दिया है.,एक डॉक्टर शायद रक्‍त की मात्रा जाँच करने के लिए रक्‍त चीनी और HB1 जाँच की सिफारिश करे ।
hindi,मेरा हाल ही में ब्लड प्रेशर 150/95 मिमी. क्या मुझे चिंतित होना चाहिए?,"150/95 मिमी के एक पढ़ने को मंच पर 1 sang माना जाता है. जबकि यह एक चेतावनी संकेत है कि दिल की बीमारी या मस्तिष्क आघात जैसी लंबी समस्याओं को रोकने में सफल होना चाहिए. आपको नमक लेना शुरू करना चाहिए, नियमित रूप से कसरत करना चाहिए, और तनाव का प्रयोग करना चाहिए यदि जीवन - स्तर काफी नहीं है."
hindi,"जब मैं उपवास करता हूँ या सीढ़ियों पर चढ़ जाता हूँ, तो मैं आसानी से साँस लेता हूँ ।","साँस और साँस की कमी, विशेष रूप से मेहनत के बाद, सामान्य लक्षण हैं। यह एक पुरानी स्थिति है जहाँ आपके हवा के तंग और मीठा होता है। आप एक magoging को देखना चाहिए, जो शायद आपके फेफड़ों के कार्य को जाँचने के लिए परीक्षण कर सकते हैं। आम तौर पर इलाज में शामिल होता है।"
hindi,"मैं अकसर छाती में जलती हुई गंध महसूस करती हूँ, ख़ासकर खाने के बाद या लेटने के बाद ।","यह बताता है कि अगर पेट की अम्ल वापस आपके ई-मेल में आती है, तो खाने के लिए भोजन से दूर रहने से बचे रहना, कम से कम दो घंटे खाने के बाद, और कम से कम दो घंटे के बाद कम खाने के लिए नीचे नहीं है."
hindi,"चलने के समय जब मैं उसे तोड़ देता हूं, तब मेरा सांट और दुख होता है; मैं अपना पूरा बोझ उस पर नहीं डाल सकता।","शायद आपको सी.आई.आई.आई.आई. प्रोटोकॉल का पालन करना चाहिए: एक टुकड़ा तुरंत, 15-20 मिनट के लिए बर्फ लागू करें, हर कुछ समय के लिए बर्फ पर लागू करें, सूजन कम करने के लिए एक संपीडन का उपयोग, और दिल के ऊपर अपने पैर की दूरी. एक X-रे की जरूरत हो सकती है अगर दर्द गंभीर है."
hindi,मेरी पीठ में निरन्तर दर्द होता है कि एक लंबे समय तक बैठे रहने के बाद बदतर हो जाता है.,"पीठ के नीचे कम दर्द का संबंध अकसर होता है, ख़ास तौर पर अगर वह बैठे रहने के बाद बिगड़ जाता है. सुनिश्चित करें कि आपकी कुर्सी अच्छी तरह से काम करती है. अपने पीठ के लिए सरल विस्तार का अभ्यास कीजिए. अपनी पीठ के लिए अपने कोर को मज़बूत करना भी महत्त्वपूर्ण राहत प्रदान कर सकता है. यदि दर्द तीव्र है या कम हो, एक डॉक्टर से सलाह, परामर्श या परामर्श कर सकते हैं."
hindi,मेरे पास एक अंगूठी की तरह लग रहा है।,"यह महत्वपूर्ण है कि क्षेत्र को साफ़ और सूखे रखने के लिए है. एक अति गुप्त पदार्थ जो कि नर्मर्मा है या नल के रूप में लागू किया जाना चाहिए. यदि यह नहीं दिखाई देता है, तो यह एक रसायनीय संक्रमण का एक संकेत है."
hindi,"मैं मेरे चेहरे पर दर्दनाक पिम्प्स के साथ बाहर तोड़ रहा हूँ, और उनमें से कुछ निशान छोड़ रहे हैं.","यह ध्वनि Cacsymon, जो लगातार किया जा सकता है. अच्छा चेहरे साफ करने के लिए है: अपने चेहरे को दो बार एक कोमल शुद्ध करनेवाले के साथ धो लीजिए. तेल की नली के साथ अपने चेहरे को दो बार धो लीजिए."
hindi,मेरे 2 साल के बच्चे को बुखार है और छोटे लाल सभी उनके शरीर पर दिखाई दे रहे हैं।,"Faceny के साथ किसी भी साथ शामिल है, sclociox (वाला) की एक स्पष्ट निशानी है. कच्चेक्स बहुत ही संक्रामक है. यह अपने बच्चे को आराम से रखने के लिए महत्वपूर्ण है, जो संक्रमण को रोकने के लिए नेतृत्व कर सकते हैं. कैंचन बहुत इस्तेमाल करें और अपनी उँगली को ठीक करने के लिए एक उचित प्रबंधन के लिए एक उचित सलाह."
hindi,"शादी के दिन खाने के बाद, मैं पेट में पेट भर रहा हूँ, पानी में डुबकी और उलटी कर रहा हूँ ।","सबसे ज़रूरी है कि आपको पर्याप्त मात्रा में तरल पदार्थ पीना चाहिए, और ज़रूरी है कि आप भोजन केले के जैसे एक बहुत ज़्यादा भोजन खाएँ, चावल, चावल, और सने हुए तेल से बचे रहें । ( g02 3 / 22)"
hindi,मेरा पेट वास्तव में परेशान है ।,"सबसे ज़रूरी है कि आपको पर्याप्त मात्रा में तरल पदार्थ पीना चाहिए, और ज़रूरी है कि आप भोजन केले के जैसे एक बहुत ज़्यादा भोजन खाएँ, चावल, चावल, और सने हुए तेल से बचे रहें । ( g02 3 / 22)"
hindi,मुझे लगता है कि मेरे पास खाने के ज़हर है. मैं सारी रात शौचालय की ओर दौड़ रहा था और मुझे महसूस होता है.,"सबसे ज़रूरी है कि आपको पर्याप्त मात्रा में तरल पदार्थ पीना चाहिए, और ज़रूरी है कि आप भोजन केले के जैसे एक बहुत ज़्यादा भोजन खाएँ, चावल, चावल, और सने हुए तेल से बचे रहें । ( g02 3 / 22)"
hindi,मैं अपने सिर के एक तरफ सिर पर एक गला घोंटना अनुभव कर रहा हूँ. मैं भी प्रकाश और ध्वनि के लिए संवेदनशील हूँ.,"एक तरफ, प्रकाश और ध्वनि के प्रति संवेदनशील रूप से दर्द के साथ दर्द की विशेषता है. तनाव, कुछ भोजन या नींद की कमी, या नींद की कमी. एक अंधेरे में आराम, मदद के दौरान. एक विशेष चिकित्सा चिकित्सा, दोनों गंभीर उपचार और गंभीर बचाव के लिए एक विशेष इलाज."
hindi,मैं इन भयानक सिरदर्द मिलता है कि मुझे मेरे पेट के लिए बीमार महसूस करते हैं. सामान्य दर्द stiners मदद नहीं करते.,"एक तरफ, प्रकाश और ध्वनि के प्रति संवेदनशील रूप से दर्द के साथ दर्द की विशेषता है. तनाव, कुछ भोजन या नींद की कमी, या नींद की कमी. एक अंधेरे में आराम, मदद के दौरान. एक विशेष चिकित्सा चिकित्सा, दोनों गंभीर उपचार और गंभीर बचाव के लिए एक विशेष इलाज."
hindi,"इससे पहले कि मेरा सिरदर्द शुरू हो, मैं कभी - कभी प्रकाश - कौंधता हुआ देखती हूँ ।","एक तरफ, प्रकाश और ध्वनि के प्रति संवेदनशील रूप से दर्द के साथ दर्द की विशेषता है. तनाव, कुछ भोजन या नींद की कमी, या नींद की कमी. एक अंधेरे में आराम, मदद के दौरान. एक विशेष चिकित्सा चिकित्सा, दोनों गंभीर उपचार और गंभीर बचाव के लिए एक विशेष इलाज."
hindi,कभी - कभी मैं थक जाती हूँ ।,"नियमित रूप से थकान, भूरे रंग की त्वचा, और साँस की कमी के सामान्य लक्षण हैं जो लोहे की रक्‍त कोशिकाएँ उत्पन्‍न करने के लिए पर्याप्त लोहे की कमी होती हैं । इसका अर्थ है कि आपका शरीर खनिज उत्पन्‍न करने के लिए पर्याप्त लोहे की कमी है ।"
marathi,"मी खूप आजारी पडले होते, त्यामुळे माझे केस दुखू लागले होते.","• ताप, ताप, ताप, ताप, ताप, ताप, ताप, ताप, ताप, ताप, ताप, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह, मधुमेह आणि मधुमेह हे सर्व काही पर्याय आहेत काहिक समस्या आहेत."
marathi,मला ताप आला की मला ताप आला आहे आणि मला ताप आला आहे.,ताप कमी झाल्यावर ताप कमी होऊ शकतो आणि ताप कमी होऊ शकतो.
marathi,मला ताप आला की मला ताप आला आहे आणि मला ताप आला आहे.,"त्यामुळे, ताप कमी करण्यासाठी ताप कमी करण्यासाठी ताप कमी करणे आवश् यक आहे."
marathi,माझे डोळे दुखतात तेव्हा मी थरथर कापते.,"(हशा) जर तुम्ही असाल, तर तुम्ही तुमच्या रक् तातील साखरेचे प्रमाण कमी केले पाहिजे. जर तुम्ही मांस खाल्ले तर तुम्हाला ताप कमी करता येईल. जर तुम्ही मांस खाल्लेत तर तुम्हाला ताप कमी करता येईल. पण जर तुम्ही मांस खाल्ले नाही तर तुम्हाला ताप येतो. जर तुम्ही मांस खाल्ले नाही तर तुम्हाला ताप येतो. जर तुम्ही ते खाऊ शकणार नाही."
marathi,मी खूप निराश झालो होतो.,"तुमच्या रक् तातील रक् तदाब कमी होऊ शकतो, रक् तदाब कमी होऊ शकतो, रक् तदाब कमी होऊ शकतो आणि रक् तदाब कमी होऊ शकतो."
marathi,"पण, माझ्या विवेकाला प्रशिक्षित करणं मला कठीण जातं का?",जर तुम्ही लस घेत असाल तर तुम्ही कोणतीही औषधे घेणार नाही. जर तुम्ही लस घेतलीत तर तुम्ही ती विकत घेणार नाही. जर तुम्ही लस घेतलीत तर तुम्ही ती विकत घेणार नाही. जर तुम्ही ती विकत घेतलीत तर तुम्ही ती विकत घेतलीत तर तुम्ही ती विकत घ्याल. जर तुम्ही ती विकत घेतलीत तर तुम्हाला ती विकत घेता येणार नाही.
marathi,कधीकधी तर मला झोपही लागत नाही.,"तुमच्या शरीरातील रक् तदाब, रक् त संक्रमण, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, रक् तदाब, आणि रक् तदाब यांसारख्या समस्या यांसारख्या समस्या यांसारख्या समस्या यांसारख्या समस्या यांसारख्या समस्या आहेत."
marathi,त्यामुळे मी माझ्या पायांवर नियंत्रण ठेवू शकते.,"(हशा) जर तुम्ही असाल, तर तुम्हाला गरज असेल तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. जर तुम्ही असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. जर तुम्ही असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. जर तुम्ही असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. जर तुम्ही असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. पण जर तुम्ही तसे केलेत तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू नका. जर तुम्ही जर व्यायाम करत असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू शकता. जर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करीत असाल, तर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू शकता. जर तुम्ही तुमच्या आहाराकडे दुर्लक्ष करू शकता. जर मी तुम्हाला एका शिक्षकांकडे आकर्षित केले तर तुम्ही एक शिक्षकांकडे दुर्लक्ष करू शकता. जर एक शिक्षकाबरोबर जात नाही. जर तुम्हाला या."
marathi,मी खूप घाबरलो आहे. आणि माझे वजन जड झाले आहे.,"(हशा) आणि मी तुम्हाला एक गोष्ट सांगणार आहे. आणि तुम्हाला माहित आहे की wisdomच्या आधारावर तुम्हाला गरज आहे ती गोष्ट तुमच्या लक्षात आणून द्या. आणि तुमच्या समोर एक समस्या निर्माण होईल. आणि तुम्हाला गरज आहे ती म्हणजे तुम्ही एक गोष्ट करू शकता. तुम्हाला माहित आहे की तुम्ही एक गोष्ट करू शकता, की तुमच्या समोर उभे आहात. आणि ती म्हणजे तुमच्या समोर एक समस्या आहे. आणि तुम्हाला एक गोष्ट करण्याची गरज आहे. जर तुम्ही ती करू शकत असाल, तर तुम्ही ती करू शकता. जर तुम्ही ती करू शकत असाल, तर डॉक्टरांकडे दुर्लक्ष करू शकता. जर तुम्ही तुमच्या जवळ असाल, तर डॉक्टरांकडे दुर्लक्ष करू शकता. जर मी तुम्हाला एक उदाहरण देतोय तर मला तुम्हाला एक उदाहरण देतोय. जर मी तुम्हाला एक गोष्ट सांगितली तर तुम्ही एक गोष्ट सांगणार नाही. जर एक गोष्ट सांगितली तर तुम्हाला एक गोष्ट सांगणारी गोष्ट सांगणारी गोष्ट सांगणार नाही. जर मी तुम्हाला एक उदाहरण देतो, तर तुम्हाला एक गोष्ट सांगणार नाही."
marathi,मी खूप निराश झालो आहे.,तुम्हाला कदाचित वाटत असेल की तुम्हाला गाडी चालवता येत नसेल किंवा तुम्हाला गाडी चालवता येत नसेल.
marathi,मी माझ्या डोक्यावरचे केस कापले आहेत. मी माझ्या केसांना शक्ती दिली आहे.,"(हशा) काहिच नाही तर, काहिच नाही. काहिच नाही. काहिच नाही. का? कारण काही मुख्य कारण म्हणजे असा आहे की ते पाण्याच्या प्रवाहातून बाहेर पडतात, आणि ते पाण्याच्या प्रवाहातून बाहेर पडतात. आणि ते पाण्याच्या प्रवाहातून बाहेर पडतात. आणि त्यामुळे त्यांची निर्मिती होते. आणि ते पाण्याच्या प्रवाहातून बाहेर पडतात. आणि त्यामुळे त्यांची निर्मिती होते. आणि त्यामुळे त्यांची निर्मिती होते. त्यामुळे त्यांची निर्मिती होते."
marathi,"काही वेळा, मी खूप निराश झालो आहे.","तुम्हाला कदाचित वाटेल, की तुमच्या शरीरातील प्रत्येक अवयवाला वेगवेगळ्या प्रकारची औषधे हवी असतात."
marathi,▪ बाळाची काळजी घेते तेव्हा त्याला ताप येतो आणि त्याला ताप येतो.,(हशा) यामुळे तुम्हाला माहिती मिळू शकते. तुम्हाला माहित आहे की तुमच्या शरीरातील प्रत्येक पदार्थापासून तयार केलेल्या पदार्थापासून वेगळे करता येतात. आणि तुमच्या शरीरातील आवश् यक घटक वेगळे करता येतात. आणि तुमच्या शरीरातील आवश् यक घटक वेगळे करता येतात. आणि तुमच्या शरीरातील प्रत्येक पदार्थ वेगळे असतात. त्यामुळे तुम्हाला हे बदल दिसून येतात. आणि तुम्हाला हे शक्य होते की तुम्हाला हे सर्व करता येतील. आणि तुम्हाला माहिती मिळू शकेल. आणि तुम्हाला जर तुम्हाला माहिती हवी असेल तर ते द्या की हे खूप कठीण आहे. आणि जर तुम्हाला का इच्छा असेल तर त्याची गरज आहे. आणि जर तुम्हाला वाटत असेल की तुम्हाला त्याची गरज असेल की तुम्हाला पर्यायी सुरक्षित वाटत असेल तर तुम्ही तुमच्या मुलांना. आणि तुमच्या मुलांना. आणि तुमच्या मुलांना.
marathi,"पण, माझ्या आईने मला सांगितलं, की मी जर घरी गेलो तर मला बरं वाटेल.","(हशा) जर तुम्ही असं केलं तर, तुम्हाला गरज असेल तेव्हा तुम्ही एक गोष्ट करू शकता. जर तुम्ही ती करू शकता, तर तुम्ही ती करू शकता. आणि जर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, पण जर श्रीमंत असाल, पण जर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, पण जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत झाला असाल, तर तुम्ही एक झाला असाल. पण जर तुम्ही काही केल्या नाहीत, तर तुम्ही काही केल्या नाहीत. पण जर तुम्ही काही गोष्टी लक्षात केल्या नाहीत, तर तुम्ही काही केल्या नाहीत. जर तुम्ही काही गोष्टी लक्षात केल्या तर तुम्हाला त्या करता येतीलच. पण जर तुम्ही काही केल्या नाहीत, पण जर तुम्ही काही केल्या नाहीत, तर तुम्ही काही केल्या नाहीत, पण जर काही केल्या नाहीत. जर तुम्ही जर काही गोष्टी केल्या नाहीत तर तुम्ही जर काही गोष्टी केल्या तर तुम्हाला काही केल्या नाहीत. जर तुम्ही जर काही केल्या नाहीत तर तुम्हाला या गोष्टी केल्या नाहीत. जर तुम्ही जर काही गोष्टी केल्या नाहीत तर तुम्हाला त्या कशा असतील तर तुम्हाला या गोष्टी सांगितल्या तर तुम्हाला त्या गोष्टी सांगितल्या तर तुम्हाला त्या करायच्या आहेत. जर त्या गोष्टी सांगितल्या तर तुम्हाला काही गोष्टी सांगितल्या तर तुम्हाला काही गोष्टी सांगितल्या असतील. जर तुम्हाला काही गोष्टी सांगितल्या असतील तर तुम्हाला काही गोष्टी सांगितल्या असतील. जर तुम्हाला त्या तुम्हाला त्या तुम्हाला काही खास आहेत का, पण जर तुम्ही त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला काही गोष्टी सांगितल्या असतील, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला आठवत नसतील, पण जर तुम्ही त्या महत्त्वाच्या असतील, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील तर, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला आठवत नसतील तर, पण जर तुम्ही त्या महत्त्वाच्या असतील."
marathi,"पण, माझ्या बाबतीत असं होत नाही.","(हशा) जर तुम्ही असं केलं तर, तुम्हाला गरज असेल तेव्हा तुम्ही एक गोष्ट करू शकता. जर तुम्ही ती करू शकता, तर तुम्ही ती करू शकता. आणि जर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, पण जर श्रीमंत असाल, पण जर तुम्ही जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत असाल, पण जर श्रीमंत असाल, तर तुम्ही जर श्रीमंत झाला असाल, तर तुम्ही एक झाला असाल. पण जर तुम्ही काही केल्या नाहीत, तर तुम्ही काही केल्या नाहीत. पण जर तुम्ही काही गोष्टी लक्षात केल्या नाहीत, तर तुम्ही काही केल्या नाहीत. जर तुम्ही काही गोष्टी लक्षात केल्या तर तुम्हाला त्या करता येतीलच. पण जर तुम्ही काही केल्या नाहीत, पण जर तुम्ही काही केल्या नाहीत, तर तुम्ही काही केल्या नाहीत, पण जर काही केल्या नाहीत. जर तुम्ही जर काही गोष्टी केल्या नाहीत तर तुम्ही जर काही गोष्टी केल्या तर तुम्हाला काही केल्या नाहीत. जर तुम्ही जर काही केल्या नाहीत तर तुम्हाला या गोष्टी केल्या नाहीत. जर तुम्ही जर काही गोष्टी केल्या नाहीत तर तुम्हाला त्या कशा असतील तर तुम्हाला या गोष्टी सांगितल्या तर तुम्हाला त्या गोष्टी सांगितल्या तर तुम्हाला त्या करायच्या आहेत. जर त्या गोष्टी सांगितल्या तर तुम्हाला काही गोष्टी सांगितल्या तर तुम्हाला काही गोष्टी सांगितल्या असतील. जर तुम्हाला काही गोष्टी सांगितल्या असतील तर तुम्हाला काही गोष्टी सांगितल्या असतील. जर तुम्हाला त्या तुम्हाला त्या तुम्हाला काही खास आहेत का, पण जर तुम्ही त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला काही गोष्टी सांगितल्या असतील, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील ज्या तुम्हाला आठवत नसतील, पण जर तुम्ही त्या महत्त्वाच्या असतील, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला काही गोष्टी सांगितल्या असतील तर, पण जर तुम्ही त्या तुम्हाला त्या तुम्हाला त्या तुम्हाला आठवत नसतील तर, पण जर तुम्ही त्या महत्त्वाच्या असतील."
